Title	Abbreviation	ISSN	EISSN	Bibliography	Citation
Purinergic Signalling	Purinergic Signalling	1573-9538	1573-9546	Basic	Numbered
Reaction Kinetics, Mechanisms and Catalysis	Reac Kinet Mech Cat	1878-5190	1878-5204	Basic	Numbered
Requirements Engineering	Requirements Eng	0947-3602	1432-010X	Basic	Numbered
Rheumatology International	Rheumatol Int	0172-8172	1437-160X	Basic	Numbered
Seminars in Immunopathology	Semin Immunopathol	1863-2297	1863-2300	Basic	Numbered
Service Oriented Computing and Applications	SOCA	1863-2386	1863-2394	Basic	Numbered
Silicon	Silicon	1876-990X	1876-9918	Basic	Numbered
Sleep and Breathing	Sleep Breath	1520-9512	1522-1709	Basic	Numbered
Social Psychiatry and Psychiatric Epidemiology	Soc Psychiatry Psychiatr Epidemiol	0933-7954	1433-9285	Basic	Numbered
Sport Sciences for Health	Sport Sci Health	1824-7490	1825-1234	Basic	Numbered
Sports Engineering	Sports Eng	1369-7072	1460-2687	Basic	Numbered
Springer Science Reviews	Springer Science Reviews		2213-7793	Basic	Numbered
Statistics in Biosciences	Stat Biosci	1867-1764	1867-1772	Basic	Numbered
Strategies in Trauma and Limb Reconstruction	Strat Traum Limb Recon	1828-8936	1828-8928	Basic	Numbered
Structural Chemistry	Struct Chem	1040-0400	1572-9001	Basic	Numbered
Supportive Care in Cancer	Support Care Cancer	0941-4355	1433-7339	Basic	Numbered
Surgical and Radiologic Anatomy	Surg Radiol Anat	0930-1038	1279-8517	Basic	Numbered
Surgical Endoscopy	Surg Endosc	0930-2794	1432-2218	Basic	Numbered
Targeted Oncology	Targ Oncol	1776-2596	1776-260X	Basic	Numbered
Techniques in Coloproctology	Tech Coloproctol	1123-6337	1128-045X	Basic	Numbered
The International Journal of Advanced Manufacturing Technology	Int J Adv Manuf Technol	0268-3768	1433-3015	Basic	Numbered
The International Journal of Cardiovascular Imaging	Int J Cardiovasc Imaging	1569-5794	1573-0743	Basic	Numbered
The Journal of Indian Prosthodontic Society	J Indian Prosthodont Soc	0972-4052	1998-4057	Basic	Numbered
The Journal of Physiological Sciences	J Physiol Sci	1880-6546	1880-6562	Basic	Numbered
The Journal of Supercomputing	J Supercomput	0920-8542	1573-0484	Basic	Numbered
The Protein Journal	Protein J	1572-3887	1573-4943	Basic	Numbered
Theoretical Chemistry Accounts	Theor Chem Acc	1432-881X	1432-2234	Basic	Numbered
Topics in Catalysis	Top Catal	1022-5528	1572-9028	Basic	Numbered
Transition Metal Chemistry	Transition Met Chem	0340-4285	1572-901X	Basic	Numbered
Updates in Surgery	Updates Surg	2038-131X	2038-3312	Basic	Numbered
Urolithiasis	Urolithiasis	2194-7228	2194-7236	Basic	Numbered
Virchows Archiv	Virchows Arch	0945-6317	1432-2307	Basic	Numbered
Welding in the World	Weld World	0043-2288	1878-6669	Basic	Numbered
World Journal of Surgery	World J Surg	0364-2313	1432-2323	Basic	Numbered
World Journal of Urology	World J Urol	0724-4983	1433-8726	Basic	Numbered
Agriculture and Human Values	Agric Hum Values	0889-048X	1572-8366	Chicago	NameYear
AMBIO	AMBIO	0044-7447	1654-7209	Chicago	NameYear
American Journal of Potato Research	Am. J. Potato Res.	1099-209X	1874-9380	Chicago	NameYear
Archive for History of Exact Sciences	Arch. Hist. Exact Sci.	0003-9519	1432-0657	Chicago	NameYear
Archives of Pharmacal Research	Arch. Pharm. Res.	0253-6269	1976-3786	Chicago	NameYear
Argumentation	Argumentation	0920-427X	1572-8374	Chicago	NameYear
Bulletin of Materials Science	Bull Mater Sci	0250-4707	0973-7669	Chicago	NameYear
Contemporary Jewry	Cont Jewry	0147-1694	1876-5165	Chicago	NameYear
Continental Philosophy Review	Cont Philos Rev	1387-2842	1573-1103	Chicago	NameYear
Dialectical Anthropology	Dialect Anthropol	0304-4092	1573-0786	Chicago	NameYear
Estuaries and Coasts	Estuaries and Coasts	1559-2723	1559-2731	Chicago	NameYear
Feminist Legal Studies	Fem Leg Stud	0966-3622	1572-8455	Chicago	NameYear
Journal of Astrophysics and Astronomy	J Astrophys Astron	0250-6335	0973-7758	Chicago	NameYear
Journal of Bioethical Inquiry	Bioethical Inquiry	1176-7529	1872-4353	Chicago	NameYear
Journal of Earth System Science	J Earth Syst Sci	0253-4126	0973-774X	Chicago	NameYear
Journal of East Asian Linguistics	J East Asian Linguist	0925-8558	1572-8560	Chicago	NameYear
Journal of Genetics	J Genet	0022-1333	0973-7731	Chicago	NameYear
KZfSS Kölner Zeitschrift für Soziologie und Sozialpsychologie	Köln Z Soziol	0023-2653	1861-891X	Chicago	NameYear
Law and Critique	Law Critique	0957-8536	1572-8617	Chicago	NameYear
Liverpool Law Review	Liverpool Law Rev	0144-932X	1572-8625	Chicago	NameYear
Medicine Studies	Medicine Studies	1876-4533	1876-4541	Chicago	NameYear
Medicine, Health Care and Philosophy	Med Health Care and Philos	1386-7423	1572-8633	Chicago	NameYear
Metascience	Metascience	0815-0796	1467-9981	Chicago	NameYear
Minerva	Minerva	0026-4695	1573-1871	Chicago	NameYear
Natural Language & Linguistic Theory	Nat Lang Linguist Theory	0167-806X	1573-0859	Chicago	NameYear
Natural Language Semantics	Nat Lang Semantics	0925-854X	1572-865X	Chicago	NameYear
Nexus Network Journal	Nexus Netw J	1590-5896	1522-4600	Chicago	NameYear
Österreichische Zeitschrift für Soziologie	Österreich Z Soziol	1011-0070	1862-2585	Chicago	NameYear
Paläontologische Zeitschrift	Paläontol Z	0031-0220	1867-6812	Chicago	NameYear
Proceedings of the Zoological Society	Proc Zool Soc	0373-5893	0974-6919	Chicago	NameYear
Qualitative Sociology	Qual Sociol	0162-0436	1573-7837	Chicago	NameYear
Res Publica	Res Publica	1356-4765	1572-8692	Chicago	NameYear
Review of Philosophy and Psychology	Rev.Phil.Psych.	1878-5158	1878-5166	Chicago	NameYear
Review of Religious Research	Rev Relig Res	0034-673X	2211-4866	Chicago	NameYear
Sadhana	Sadhana	0256-2499	0973-7677	Chicago	NameYear
Sugar Tech	Sugar Tech	0972-1525	0974-0740	Chicago	NameYear
Technology Operation Management	Technol. Oper. Manag.	0974-8091	2249-2364	Chicago	NameYear
The Journal of Comparative Germanic Linguistics	J Comp German Linguistics	1383-4924	1572-8552	Chicago	NameYear
Zeitschrift für Vergleichende Politikwissenschaft	Z Vgl Polit Wiss	1865-2646	1865-2654	Chicago	NameYear
Academic Questions	Acad. Quest.	0895-4852	1936-4709	Chicago	Numbered
Inflammation	Inflammation	0360-3997	1573-2576	Chicago	Numbered
International Journal for the Semiotics of Law - Revue internationale de Sémiotique juridique	Int J Semiot Law	0952-8059	1572-8722	Chicago	Numbered
International Journal of the Classical Tradition	Int class trad	1073-0508	1874-6292	Chicago	Numbered
Journal of Chemical Sciences	J Chem Sci	0974-3626	0973-7103	Chicago	Numbered
Journal of Chinese Political Science	J OF CHIN POLIT SCI	1080-6954	1874-6357	Chicago	Numbered
Neuroethics	Neuroethics	1874-5490	1874-5504	Chicago	Numbered
The Journal of Value Inquiry	J Value Inquiry	0022-5363	1573-0492	Chicago	Numbered
Theoretical Medicine and Bioethics	Theor Med Bioeth	1386-7415	1573-1200	Chicago	Numbered
Adsorption	Adsorption	0929-5607	1572-8757	MathPhysSci	NameYear
Annals of Finance	Ann Finance	1614-2446	1614-2454	MathPhysSci	NameYear
AStA Advances in Statistical Analysis	AStA Adv Stat Anal	1863-8171	1863-818X	MathPhysSci	NameYear
Astrophysics and Space Science	Astrophys Space Sci	0004-640X	1572-946X	MathPhysSci	NameYear
Automated Software Engineering	Autom Softw Eng	0928-8910	1573-7535	MathPhysSci	NameYear
Beiträge zur Algebra und Geometrie / Contributions to Algebra and Geometry	Beitr Algebra Geom	0138-4821	2191-0383	MathPhysSci	NameYear
Celestial Mechanics and Dynamical Astronomy	Celest Mech Dyn Astr	0923-2958	1572-9478	MathPhysSci	NameYear
Decisions in Economics and Finance	Decisions Econ Finan	1593-8883	1129-6569	MathPhysSci	NameYear
Economic Theory	Econ Theory	0938-2259	1432-0479	MathPhysSci	NameYear
Extremes	Extremes	1386-1999	1572-915X	MathPhysSci	NameYear
Financial Markets and Portfolio Management	Financ Mark Portf Manag	1555-4961	1555-497X	MathPhysSci	NameYear
Foundations of Chemistry	Found Chem	1386-4238	1572-8463	MathPhysSci	NameYear
GEM - International Journal on Geomathematics	Int J Geomath	1869-2672	1869-2680	MathPhysSci	NameYear
Grundwasser	Grundwasser	1430-483X	1432-1165	MathPhysSci	NameYear
Health Services and Outcomes Research Methodology	Health Serv Outcomes Res Method	1387-3741	1572-9400	MathPhysSci	NameYear
International Journal of Mechanics and Materials in Design	Int J Mech Mater Des	1569-1713	1573-8841	MathPhysSci	NameYear
Journal for Labour Market Research	J Labour Market Res	1614-3485	1867-8343	MathPhysSci	NameYear
Journal of Atmospheric Chemistry	J Atmos Chem	0167-7764	1573-0662	MathPhysSci	NameYear
Journal of Heuristics	J Heuristics	1381-1231	1572-9397	MathPhysSci	NameYear
Journal of Nonlinear Science	J Nonlinear Sci	0938-8974	1432-1467	MathPhysSci	NameYear
Letters in Spatial and Resource Sciences	Lett Spat Resour Sci	1864-4031	1864-404X	MathPhysSci	NameYear
Mechanics of Time-Dependent Materials	Mech Time-Depend Mater	1385-2000	1573-2738	MathPhysSci	NameYear
Microgravity Science and Technology	Microgravity Sci. Technol.	0938-0108	1875-0494	MathPhysSci	NameYear
Optical and Quantum Electronics	Opt Quant Electron	0306-8919	1572-817X	MathPhysSci	NameYear
Quality & Quantity	Qual Quant	0033-5177	1573-7845	MathPhysSci	NameYear
Statistics and Computing	Stat Comput	0960-3174	1573-1375	MathPhysSci	NameYear
Transport in Porous Media	Transp Porous Med	0169-3913	1573-1634	MathPhysSci	NameYear
Transportation	Transportation	0049-4488	1572-9435	MathPhysSci	NameYear
User Modeling and User-Adapted Interaction	User Model User-Adap Inter	0924-1868	1573-1391	MathPhysSci	NameYear
Zeitschrift für die gesamte Versicherungswissenschaft	ZVersWiss	0044-2585	1865-9748	MathPhysSci	NameYear
Abhandlungen aus dem Mathematischen Seminar der Universität Hamburg	Abh. Math. Semin. Univ. Hambg.	0025-5858	1865-8784	MathPhysSci	Numbered
Acta Applicandae Mathematicae	Acta Appl Math	0167-8019	1572-9036	MathPhysSci	Numbered
Acta Mechanica	Acta Mech	0001-5970	1619-6937	MathPhysSci	Numbered
Advances in Computational Mathematics	Adv Comput Math	1019-7168	1572-9044	MathPhysSci	Numbered
Aequationes mathematicae	Aequat. Math.	0001-9054	1420-8903	MathPhysSci	Numbered
Afrika Matematika	Afr. Mat. 	1012-9405	2190-7668	MathPhysSci	Numbered
Algebra universalis	Algebra Univers.	0002-5240	1420-8911	MathPhysSci	Numbered
Algebras and Representation Theory	Algebr Represent Theor	1386-923X	1572-9079	MathPhysSci	Numbered
Algorithmica	Algorithmica	0178-4617	1432-0541	MathPhysSci	Numbered
Analysis and Mathematical Physics	Anal.Math.Phys.	1664-2368	1664-235X	MathPhysSci	Numbered
Annales Henri Poincaré	Ann. Henri Poincaré	1424-0637	1424-0661	MathPhysSci	Numbered
ANNALI DELL'UNIVERSITA' DI FERRARA	Ann Univ Ferrara	0430-3202	1827-1510	MathPhysSci	Numbered
Annali di Matematica Pura ed Applicata	Annali di Matematica	0373-3114	1618-1891	MathPhysSci	Numbered
Annals of Global Analysis and Geometry	Ann Glob Anal Geom	0232-704X	1572-9060	MathPhysSci	Numbered
Annals of Mathematics and Artificial Intelligence	Ann Math Artif Intell	1012-2443	1573-7470	MathPhysSci	Numbered
Applicable Algebra in Engineering, Communication and Computing	AAECC	0938-1279	1432-0622	MathPhysSci	Numbered
Applied Categorical Structures	Appl Categor Struct	0927-2852	1572-9095	MathPhysSci	Numbered
Applied Composite Materials	Appl Compos Mater	0929-189X	1573-4897	MathPhysSci	Numbered
Applied Mathematics & Optimization	Appl Math Optim	0095-4616	1432-0606	MathPhysSci	Numbered
Arabian Journal for Science and Engineering	Arab J Sci Eng	1319-8025	2191-4281	MathPhysSci	Numbered
Arabian Journal of Mathematics	Arab J Math	2193-5343	2193-5351	MathPhysSci	Numbered
Archive for Mathematical Logic	Arch. Math. Logic	0933-5846	1432-0665	MathPhysSci	Numbered
Archive for Rational Mechanics and Analysis	Arch Rational Mech Anal	0003-9527	1432-0673	MathPhysSci	Numbered
Archive of Applied Mechanics	Arch Appl Mech 	0939-1533	1432-0681	MathPhysSci	Numbered
BIT Numerical Mathematics	Bit Numer Math	0006-3835	1572-9125	MathPhysSci	Numbered
Bulletin of Mathematical Sciences	Bull. Math. Sci.	1664-3607	1664-3615	MathPhysSci	Numbered
Calcolo	Calcolo	0008-0624	1126-5434	MathPhysSci	Numbered
Calculus of Variations and Partial Differential Equations	Calc. Var.	0944-2669	1432-0835	MathPhysSci	Numbered
CEAS Aeronautical Journal	CEAS Aeronaut J	1869-5582	1869-5590	MathPhysSci	Numbered
CEAS Space Journal	CEAS Space J	1868-2502	1868-2510	MathPhysSci	Numbered
Cluster Computing	Cluster Comput	1386-7857	1573-7543	MathPhysSci	Numbered
Collectanea Mathematica	Collect. Math.	0010-0757	2038-4815	MathPhysSci	Numbered
Communications in Mathematical Physics	Commun. Math. Phys.	0010-3616	1432-0916	MathPhysSci	Numbered
Complex Analysis and Operator Theory	Complex Anal. Oper. Theory	1661-8254	1661-8262	MathPhysSci	Numbered
Computational Geosciences	Comput Geosci	1420-0597	1573-1499	MathPhysSci	Numbered
Computational Methods and Function Theory	Comput. Methods Funct. Theory	1617-9447	2195-3724	MathPhysSci	Numbered
Computational Optimization and Applications	Comput Optim Appl	0926-6003	1573-2894	MathPhysSci	Numbered
Computing and Visualization in Science	Comput. Visual Sci.	1432-9360	1433-0369	MathPhysSci	Numbered
Constructive Approximation	Constr Approx	0176-4276	1432-0940	MathPhysSci	Numbered
Continuum Mechanics and Thermodynamics	Continuum Mech. Thermodyn.	0935-1175	1432-0959	MathPhysSci	Numbered
Cryptography and Communications	Cryptogr. Commun.	1936-2447	1936-2455	MathPhysSci	Numbered
Designs, Codes and Cryptography	Des. Codes Cryptogr.	0925-1022	1573-7586	MathPhysSci	Numbered
Differential Equations and Dynamical Systems	Differ Equ Dyn Syst	0971-3514	0974-6870	MathPhysSci	Numbered
Discrete & Computational Geometry	Discrete Comput Geom	0179-5376	1432-0444	MathPhysSci	Numbered
Distributed and Parallel Databases	Distrib Parallel Databases	0926-8782	1573-7578	MathPhysSci	Numbered
Distributed Computing	Distrib. Comput.	0178-2770	1432-0452	MathPhysSci	Numbered
Endocrine	Endocrine	1355-008X	1559-0100	MathPhysSci	Numbered
Energy Systems	Energy Syst	1868-3967	1868-3975	MathPhysSci	Numbered
ERA Forum	ERA Forum	1612-3093	1863-9038	MathPhysSci	Numbered
Experimental Astronomy	Exp Astron	0922-6435	1572-9508	MathPhysSci	Numbered
Few-Body Systems	Few-Body Syst	0177-7963	1432-5411	MathPhysSci	Numbered
Finance and Stochastics	Finance Stoch	0949-2984	1432-1122	MathPhysSci	Numbered
Flow, Turbulence and Combustion	Flow Turbulence Combust	1386-6184	1573-1987	MathPhysSci	Numbered
Foundations of Physics	Found Phys	0015-9018	1572-9516	MathPhysSci	Numbered
General Relativity and Gravitation	Gen Relativ Gravit	0001-7701	1572-9532	MathPhysSci	Numbered
Geometriae Dedicata	Geom Dedicata	0046-5755	1572-9168	MathPhysSci	Numbered
Glycoconjugate Journal	Glycoconj J	0282-0080	1573-4986	MathPhysSci	Numbered
Granular Matter	Granular Matter	1434-5021	1434-7636	MathPhysSci	Numbered
Graphs and Combinatorics	Graphs and Combinatorics	0911-0119	1435-5914	MathPhysSci	Numbered
Higher-Order and Symbolic Computation	Higher-Order Symb Comput	1388-3690	1573-0557	MathPhysSci	Numbered
Hyperfine Interactions	Hyperfine Interact	0304-3843	1572-9540	MathPhysSci	Numbered
Integral Equations and Operator Theory	Integr. Equ. Oper. Theory	0378-620X	1420-8989	MathPhysSci	Numbered
International Journal of Advances in Engineering Sciences and Applied Mathematics	Int J Adv Eng Sci Appl Math	0975-0770	0975-5616	MathPhysSci	Numbered
International Journal of Information Security	Int. J. Inf. Secur.	1615-5262	1615-5270	MathPhysSci	Numbered
International Journal of Intelligent Transportation Systems Research	Int. J. ITS Res.	1348-8503	1868-8659	MathPhysSci	Numbered
International Journal of Parallel Programming	Int J Parallel Prog	0885-7458	1573-7640	MathPhysSci	Numbered
International Journal of Theoretical Physics	Int J Theor Phys	0020-7748	1572-9575	MathPhysSci	Numbered
International Journal on Digital Libraries	Int J Digit Libr	1432-5012	1432-1300	MathPhysSci	Numbered
International Journal on Document Analysis and Recognition (IJDAR)	IJDAR	1433-2833	1433-2825	MathPhysSci	Numbered
International Journal on Interactive Design and Manufacturing (IJIDeM)	Int J Interact Des Manuf	1955-2513	1955-2505	MathPhysSci	Numbered
International Journal on Software Tools for Technology Transfer	Int J Softw Tools Technol Transfer	1433-2779	1433-2787	MathPhysSci	Numbered
Inventiones mathematicae	Invent. math.	0020-9910	1432-1297	MathPhysSci	Numbered
Jahresbericht der Deutschen Mathematiker-Vereinigung	Jahresber. Dtsch. Math. Ver.	0012-0456	1869-7135	MathPhysSci	Numbered
Japan Journal of Industrial and Applied Mathematics	Japan J. Indust. Appl. Math.	0916-7005	1868-937X	MathPhysSci	Numbered
Journal of Algebraic Combinatorics	J Algebr Comb	0925-9899	1572-9192	MathPhysSci	Numbered
Journal of Applied Mathematics and Computing	J. Appl. Math. Comput.	1598-5865	1865-2085	MathPhysSci	Numbered
Journal of Automated Reasoning	J Autom Reasoning	0168-7433	1573-0670	MathPhysSci	Numbered
Journal of Biological Physics	J Biol Phys	0092-0606	1573-0689	MathPhysSci	Numbered
Journal of Computational Electronics	J Comput Electron	1569-8025	1572-8137	MathPhysSci	Numbered
Journal of computer virology and hacking techniques	J Comput Virol	1772-9890	2263-8733	MathPhysSci	Numbered
Journal of Cryptographic Engineering	J Cryptogr Eng 	2190-8508	2190-8516	MathPhysSci	Numbered
Journal of Dynamics and Differential Equations	J Dyn Diff Equat	1040-7294	1572-9222	MathPhysSci	Numbered
Journal of Elasticity	J Elast	0374-3535	1573-2681	MathPhysSci	Numbered
Journal of Fourier Analysis and Applications	J Fourier Anal Appl	1069-5869	1531-5851	MathPhysSci	Numbered
Journal of Geometric Analysis	J Geom Anal	1050-6926	1559-002X	MathPhysSci	Numbered
Journal of Geometry	J. Geom.	0047-2468	1420-8997	MathPhysSci	Numbered
Journal of Global Optimization	J Glob Optim	0925-5001	1573-2916	MathPhysSci	Numbered
Journal of Grid Computing	J Grid Computing	1570-7873	1572-9184	MathPhysSci	Numbered
Journal of Homotopy and Related Structures	J. Homotopy Relat. Struct.	2193-8407	1512-2891	MathPhysSci	Numbered
Journal of Inclusion Phenomena and Macrocyclic Chemistry	J Incl Phenom Macrocycl Chem	0923-0750	1573-1111	MathPhysSci	Numbered
Journal of Intelligent & Robotic Systems	J Intell Robot Syst	0921-0296	1573-0409	MathPhysSci	Numbered
Journal of Mathematical Fluid Mechanics	J. Math. Fluid Mech.	1422-6928	1422-6952	MathPhysSci	Numbered
Journal of Mathematical Imaging and Vision	J Math Imaging Vis	0924-9907	1573-7683	MathPhysSci	Numbered
Journal of Mathematical Modelling and Algorithms in Operations Research	J Math Model Algor	1570-1166	1572-9214	MathPhysSci	Numbered
Journal of Network and Systems Management	J Netw Syst Manage	1064-7570	1573-7705	MathPhysSci	Numbered
Journal of Nondestructive Evaluation	J Nondestruct Eval	0195-9298	1573-4862	MathPhysSci	Numbered
Journal of Optimization Theory and Applications	J Optim Theory Appl	0022-3239	1573-2878	MathPhysSci	Numbered
Journal of Pseudo-Differential Operators and Applications	J. Pseudo-Differ. Oper. Appl.	1662-9981	1662-999X	MathPhysSci	Numbered
Journal of Real-Time Image Processing	J Real-Time Image Proc	1861-8200	1861-8219	MathPhysSci	Numbered
Journal of Scientific Computing	J Sci Comput	0885-7474	1573-7691	MathPhysSci	Numbered
Journal of Solution Chemistry	J Solution Chem	0095-9782	1572-8927	MathPhysSci	Numbered
Journal of Statistical Physics	J Stat Phys	0022-4715	1572-9613	MathPhysSci	Numbered
Journal of Superconductivity and Novel Magnetism	J Supercond Nov Magn	1557-1939	1557-1947	MathPhysSci	Numbered
Journal of Theoretical Probability	J Theor Probab	0894-9840	1572-9230	MathPhysSci	Numbered
Letters in Mathematical Physics	Lett Math Phys	0377-9017	1573-0530	MathPhysSci	Numbered
Logica Universalis	Log. Univers.	1661-8297	1661-8300	MathPhysSci	Numbered
Machine Vision and Applications	Machine Vision and Applications	0932-8092	1432-1769	MathPhysSci	Numbered
Manuscripta Mathematica	manuscripta math.	0025-2611	1432-1785	MathPhysSci	Numbered
Materials for Renewable and Sustainable Energy	Mater Renew Sustain Energy	2194-1459	2194-1467	MathPhysSci	Numbered
Mathematical Physics, Analysis and Geometry	Math Phys Anal Geom	1385-0172	1572-9656	MathPhysSci	Numbered
Mathematical Programming	Math. Program.	0025-5610	1436-4646	MathPhysSci	Numbered
Mathematical Programming Computation	Math. Prog. Comp.	1867-2949	1867-2957	MathPhysSci	Numbered
Mathematics and Financial Economics	Math Finan Econ	1862-9679	1862-9660	MathPhysSci	Numbered
Mathematics in Computer Science	Math.Comput.Sci.	1661-8270	1661-8289	MathPhysSci	Numbered
Mathematische Annalen	Math. Ann.	0025-5831	1432-1807	MathPhysSci	Numbered
Mathematische Semesterberichte	Math Semesterber	0720-728X	1432-1815	MathPhysSci	Numbered
Mathematische Zeitschrift	Math. Z.	0025-5874	1432-1823	MathPhysSci	Numbered
Milan Journal of Mathematics	Milan J. Math.	1424-9286	1424-9294	MathPhysSci	Numbered
Monatshefte für Mathematik	Monatsh Math	0026-9255	1436-5081	MathPhysSci	Numbered
Multibody System Dynamics	Multibody Syst Dyn	1384-5640	1573-272X	MathPhysSci	Numbered
Multimedia Systems	Multimedia Systems	0942-4962	1432-1882	MathPhysSci	Numbered
Nonlinear Differential Equations and Applications NoDEA	Nonlinear Differ. Equ. Appl.	1021-9722	1420-9004	MathPhysSci	Numbered
Nonlinear Dynamics	Nonlinear Dyn	0924-090X	1573-269X	MathPhysSci	Numbered
Numerical Algorithms	Numer Algor	1017-1398	1572-9265	MathPhysSci	Numbered
Numerische Mathematik	Numer. Math.	0029-599X	0945-3245	MathPhysSci	Numbered
OPSEARCH	OPSEARCH	0030-3887	0975-0320	MathPhysSci	Numbered
Optimization Letters	Optim Lett	1862-4472	1862-4480	MathPhysSci	Numbered
Order	Order	0167-8094	1572-9273	MathPhysSci	Numbered
Photonic Network Communications	Photon Netw Commun	1387-974X	1572-8188	MathPhysSci	Numbered
Positivity	Positivity	1385-1292	1572-9281	MathPhysSci	Numbered
Potential Analysis	Potential Anal	0926-2601	1572-929X	MathPhysSci	Numbered
Probability Theory and Related Fields	Probab. Theory Relat. Fields	0178-8051	1432-2064	MathPhysSci	Numbered
Proceedings - Mathematical Sciences	Proc Math Sci	0253-4142	0973-7685	MathPhysSci	Numbered
Progress in Artificial Intelligence	Prog Artif Intell	2192-6352	2192-6360	MathPhysSci	Numbered
Qualitative Theory of Dynamical Systems	Qual. Theory Dyn. Syst.	1575-5460	1662-3592	MathPhysSci	Numbered
Quantum Information Processing	Quantum Inf Process	1570-0755	1573-1332	MathPhysSci	Numbered
Queueing Systems	Queueing Syst	0257-0130	1572-9443	MathPhysSci	Numbered
Rendiconti del Circolo Matematico di Palermo	Rend. Circ. Mat. Palermo	0009-725X	1973-4409	MathPhysSci	Numbered
Results in Mathematics	Results. Math.	1422-6383	1420-9012	MathPhysSci	Numbered
Revista de la Real Academia de Ciencias Exactas, Fisicas y Naturales. Serie A. Matematicas	RACSAM	1578-7303	1579-1505	MathPhysSci	Numbered
Revista Matemática Complutense	Rev Mat Complut	1139-1138	1988-2807	MathPhysSci	Numbered
Ricerche di Matematica	Ricerche mat.	0035-5038	1827-3491	MathPhysSci	Numbered
Selecta Mathematica	Sel. Math. New Ser.	1022-1824	1420-9020	MathPhysSci	Numbered
Semigroup Forum	Semigroup Forum	0037-1912	1432-2137	MathPhysSci	Numbered
Set-Valued and Variational Analysis	Set-Valued Var. Anal	1877-0533	1877-0541	MathPhysSci	Numbered
Sexuality and Disability	Sex Disabil	0146-1044	1573-6717	MathPhysSci	Numbered
Shock Waves	Shock Waves	0938-1287	1432-2153	MathPhysSci	Numbered
Signal, Image and Video Processing	SIViP	1863-1703	1863-1711	MathPhysSci	Numbered
Software & Systems Modeling	Softw Syst Model	1619-1366	1619-1374	MathPhysSci	Numbered
Stochastic Partial Differential Equations: Analysis and Computations	Stoch PDE: Anal Comp	2194-0401	2194-041X	MathPhysSci	Numbered
The European Journal of Health Economics	Eur J Health Econ	1618-7598	1618-7601	MathPhysSci	Numbered
The Journal of Economic Inequality	J Econ Inequal	1569-1721	1573-8701	MathPhysSci	Numbered
The Ramanujan Journal	Ramanujan J	1382-4090	1572-9303	MathPhysSci	Numbered
The Visual Computer	Vis Comput	0178-2789	1432-2315	MathPhysSci	Numbered
The VLDB Journal	The VLDB Journal	1066-8888	0949-877X	MathPhysSci	Numbered
Theoretical and Computational Fluid Dynamics	Theor. Comput. Fluid Dyn.	0935-4964	1432-2250	MathPhysSci	Numbered
Theory of Computing Systems	Theory Comput Syst	1432-4350	1433-0490	MathPhysSci	Numbered
Tribology Letters	Tribol Lett	1023-8883	1573-2711	MathPhysSci	Numbered
Universal Access in the Information Society	Univ Access Inf Soc	1615-5289	1615-5297	MathPhysSci	Numbered
Waste and Biomass Valorization	Waste Biomass Valor	1877-2641	1877-265X	MathPhysSci	Numbered
World Wide Web	World Wide Web	1386-145X	1573-1413	MathPhysSci	Numbered
Zeitschrift für angewandte Mathematik und Physik	Z. Angew. Math. Phys.	0044-2275	1420-9039	MathPhysSci	Numbered
Cell Biology and Toxicology	Cell Biol Toxicol	0742-2091	1573-6822	Vancouver	NameYear
European Archives of Paediatric Dentistry	Eur Arch Paediatr Dent	1818-6300	1996-9805	Vancouver	NameYear
Studies in Comparative International Development	St Comp Int Dev	0039-3606	1936-6167	Vancouver	NameYear
The Review of Black Political Economy	Rev Black Polit Econ	0034-6446	1936-4814	Vancouver	NameYear
AAPS PharmSciTech	AAPS PharmSciTech 		1530-9932	Vancouver	Numbered
AIDS and Behavior	AIDS Behav	1090-7165	1573-3254	Vancouver	Numbered
American Journal of Cardiovascular Drugs	Am J Cardiovasc Drugs	1175-3277	1179-187X	Vancouver	Numbered
American Journal of Clinical Dermatology	Am J Clin Dermatol	1175-0561	1179-1888	Vancouver	Numbered
Annals of Nuclear Medicine	Ann Nucl Med	0914-7187	1864-6433	Vancouver	Numbered
Applied Health Economics and Health Policy	Appl Health Econ Health Policy	1175-5652	1179-1896	Vancouver	Numbered
BioDrugs	BioDrugs	1173-8804	1179-190X	Vancouver	Numbered
Biologics in Therapy	Biol Ther	2195-5840	2190-9164	Vancouver	Numbered
Breast Cancer	Breast Cancer	1340-6868	1880-4233	Vancouver	Numbered
Cardiology and Therapy	Cardiol Ther	2193-8261	2193-6544	Vancouver	Numbered
Cardiovascular Drugs and Therapy	Cardiovasc Drugs Ther	0920-3206	1573-7241	Vancouver	Numbered
Cardiovascular Intervention and Therapeutics	Cardiovasc Interv and Ther	1868-4300	1868-4297	Vancouver	Numbered
CEN Case Reports	CEN Case Rep		2192-4449	Vancouver	Numbered
Clinical and Experimental Nephrology	Clin Exp Nephrol	1342-1751	1437-7799	Vancouver	Numbered
Clinical Drug Investigation	Clin Drug Investig	1173-2563	1179-1918	Vancouver	Numbered
Clinical Journal of Gastroenterology	Clin J Gastroenterol	1865-7257	1865-7265	Vancouver	Numbered
Clinical Neuroradiology	Clin Neuroradiol	1869-1439	1869-1447	Vancouver	Numbered
